Country,Year,Population
China,1800,321675013
China,1801,324408862
China,1802,327165946
China,1803,329946461
China,1804,332750607
China,1805,335578586
China,1806,338430598
China,1807,341306850
China,1808,344207546
China,1809,347132894
China,1810,350542958
China,1811,353497076
China,1812,356451049
China,1813,359404695
China,1814,362357830
China,1815,365310269
China,1816,368261821
China,1817,371212295
China,1818,374161494
China,1819,377109221
China,1820,380055273
China,1821,382875079
China,1822,385567453
China,1823,388131202
China,1824,390565123
China,1825,392868002
China,1826,395038612
China,1827,397075720
China,1828,398978080
China,1829,400744435
China,1830,402373519
China,1831,403849709
China,1832,405196781
China,1833,406413815
China,1834,407499886
China,1835,408454062
China,1836,409275403
China,1837,409962966
China,1838,410515798
China,1839,410932939
China,1840,411213424
China,1841,411182878
China,1842,410966222
China,1843,410564965
China,1844,409980603
China,1845,409214617
China,1846,408268476
China,1847,407143635
China,1848,405841538
China,1849,404363614
China,1850,402711280
China,1851,400960615
China,1852,399117753
China,1853,397183162
China,1854,395157310
China,1855,393040660
China,1856,390833674
China,1857,388536813
China,1858,386150534
China,1859,383675291
China,1860,381111537
China,1861,378594732
China,1862,376298421
China,1863,374221230
China,1864,372361794
China,1865,370718766
China,1866,369290761
China,1867,368076457
China,1868,367074543
China,1869,366283722
China,1870,365702662
China,1871,365338096
China,1872,365122656
China,1873,364371343
China,1874,364499115
China,1875,364790069
China,1876,365243910
China,1877,365532003
China,1878,366440255
China,1879,367528721
China,1880,368630301
China,1881,369694743
China,1882,370824502
China,1883,371968852
China,1884,373090989
China,1885,374330754
China,1886,375646015
China,1887,376884992
China,1888,378312405
China,1889,379814396
China,1890,381391698
China,1891,383040220
China,1892,384760513
China,1893,386553219
China,1894,388418797
China,1895,390357799
China,1896,392390248
China,1897,394447899
China,1898,396530938
China,1899,398639637
China,1900,400774182
China,1901,402934754
China,1902,405061200
China,1903,407294068
China,1904,409562851
China,1905,411867885
China,1906,414185810
China,1907,416486480
China,1908,418830301
China,1909,421646019
China,1910,424941273
China,1911,428238470
China,1912,432967241
China,1913,437748286
China,1914,442582273
China,1915,447469541
China,1916,452410761
China,1917,457406603
China,1918,462444535
China,1919,467541144
China,1920,471515819
China,1921,474352201
China,1922,476033602
China,1923,477721011
China,1924,479414429
China,1925,481113855
China,1926,482819289
China,1927,484530733
China,1928,486248185
China,1929,487971645
China,1930,490337690
China,1931,493353328
China,1932,497025237
China,1933,500363002
China,1934,503362284
China,1935,506019077
China,1936,508689890
China,1937,511375057
China,1938,514074577
China,1939,516788452
China,1940,519516346
China,1941,522258594
China,1942,525015196
China,1943,527786486
China,1944,530572463
China,1945,533373128
China,1946,536188481
China,1947,539018521
China,1948,541863583
China,1949,546045364
China,1950,554419275
China,1951,569611075
China,1952,582029301
China,1953,592567861
China,1954,601971218
China,1955,610834396
China,1956,619597547
China,1957,628551405
China,1958,637853609
China,1959,647555963
China,1960,657686143
China,1961,668334897
China,1962,679732315
China,1963,692280490
China,1964,706460953
China,1965,722562183
China,1966,740745642
China,1967,760771063
China,1968,782008729
China,1969,803577221
China,1970,824788457
China,1971,845481578
China,1972,865686530
China,1973,885145933
China,1974,903613538
China,1975,920945083
China,1976,937018252
China,1977,951927444
China,1978,966039822
China,1979,979880619
China,1980,993877310
China,1981,1008000152
China,1982,1022253396
China,1983,1037123834
China,1984,1053210735
China,1985,1070863389
China,1986,1090348056
China,1987,1111341725
China,1988,1132866344
China,1989,1153565894
China,1990,1172445200
China,1991,1189183522
China,1992,1204003901
China,1993,1217129133
China,1994,1228991932
China,1995,1239940004
China,1996,1249981441
China,1997,1259066974
China,1998,1267441503
China,1999,1275406699
China,2000,1283198970
China,2001,1290937649
China,2002,1298646577
China,2003,1306343911
China,2004,1314007478
China,2005,1321623490
China,2006,1329209094
China,2007,1336800506
China,2008,1344415227
China,2009,1352068091
China,2010,1359755102
China,2011,1367480264
China,2012,1375198619
China,2013,1382793212
China,2014,1390110388
China,2015,1397028553
China,2016,1403500365
China,2017,1409517397
